,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
146,Smilla's Sense of Snow,Peter Høeg,2463,48292,3.76,469,1995,1992,0,"['Fiction', 'Mystery', 'Mystery > Crime']","['CWA Silver Dagger for Fiction (1994)', 'Dilys Award (1994)', 'Glass Key Award (1993)', 'Edgar Award Nominee for Best Novel (1994)', 'Deutscher Krimi Preis for 2. Platz International (1995)', '']","['Copenhagen', 'Denmark', 'Greenland']",https://www.goodreads.com/book/show/124509.Smilla_s_Sense_of_Snow
147,Gorky Park,Martin Cruz Smith,1266,71053,4.04,433,1982,1981,1,"['Mystery', 'Fiction', 'Thriller']","['CWA Gold Dagger Award for Fiction (1981)', 'The CWA Dagger of Daggers Nominee (2005)', 'CWA Best Ever Nominee for Crime Novel (2013)']","['Russian Federation', 'Moscow', 'Russia', '', '']",https://www.goodreads.com/book/show/762806.Gorky_Park
148,The Talented Mr. Ripley,Patricia Highsmith,3998,78734,3.92,320,2008,1955,1,"['Fiction', 'Mystery', 'Thriller']","['Grand Prix de Littérature Policière for Romans étrangers (1957)', 'Edgar Award Nominee for Best Novel (1956)']","['Italy', 'New York City, New York', 'Italian Riviera']",https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley
149,Sharp Objects,Gillian Flynn,49444,793747,3.99,254,2006,,0,"['Mystery', 'Fiction', 'Thriller']","['Barry Award Nominee for Best First Novel (2007)', 'CWA New Blood Dagger (2007)', 'Edgar Award Nominee for Best First Novel (2007)', 'CWA Ian Fleming Steel Dagger (2007)']","['Wind Gap, Missouri', 'Chicago, Illinois', 'Missouri']",https://www.goodreads.com/book/show/18045891-sharp-objects
150,A Great Deliverance,Elizabeth George,1978,47239,4.03,413,1989,1988,1,"['Mystery', 'Fiction', 'Mystery > Crime']","['Anthony Award for Best First Novel (1989)', 'Grand Prix de Littérature Policière for Romans étrangers (1990)', 'Agatha Award for Best First Novel (1988)', 'Edgar Award Nominee for Best First Novel (1989)']","['United Kingdom', 'Yorkshire, England']",https://www.goodreads.com/book/show/31374.A_Great_Deliverance
151,Eye of the Needle,Ken Follett,3239,145213,4.18,339,2004,1978,0,"['Fiction', 'Thriller', 'Historical > Historical Fiction']",['Edgar Award for Best Novel (1979)'],['United Kingdom'],https://www.goodreads.com/book/show/92364.Eye_of_the_Needle
152,The Bourne Identity,Robert Ludlum,4920,420456,4.04,566,2005,1980,1,"['Fiction', 'Thriller', 'Mystery']",['Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (1984)'],"['Marseille', 'Paris', 'Zurich', '']",https://www.goodreads.com/book/show/7869.The_Bourne_Identity
153,No Country for Old Men,Cormac McCarthy,8705,176419,4.09,309,2006,2005,0,"['Fiction', 'Thriller', 'Mystery > Crime']","['Hammett Prize Nominee (2005)', 'Audie Award for Audiobook Adaptation (2011)', 'Exclusive Books Boeke Prize Nominee (2007)', 'Falcon Award (2008)', 'International Dublin Literary Award Nominee for Shortlist (2007)']","['The United States of America', 'Terrell County, Texas']",https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men
154,"Tinker, Tailor, Soldier, Spy",John le Carré,4526,90223,4.03,381,2011,1974,1,"['Fiction', 'Mystery', 'Thriller']",,"['London, England']",https://www.goodreads.com/book/show/10073506-tinker-tailor-soldier-spy
155,The Beekeeper's Apprentice,Laurie R. King,6450,78286,4.05,341,2002,1994,1,"['Mystery', 'Fiction', 'Historical > Historical Fiction']",['Agatha Award Nominee for Best Novel (1994)'],"['Sussex, England']",https://www.goodreads.com/book/show/91661.The_Beekeeper_s_Apprentice
